id,description,vendor,cwe_category,cwe_explanation,cause,impact,published,cvss_score,severity,source,description_without_punct,description_normalized,explanation
CVE-1999-0419,"When the Microsoft SMTP service attempts to send a message to a server and receives a 4xx error code, it quickly and repeatedly attempts to redeliver the message, causing a denial of service.",QUIC,NVD-CWE-Other,,,,1999-03-01T05:00:00.000,,,nvd,when the microsoft smtp service attempts to send a message to a server and receives a 4xx error code it quickly and repeatedly attempts to redeliver the message causing a denial of service,"When the Microsoft SMTP service attempts to send a message to a server and receives a 4xx error code, it quickly and repeatedly attempts to redeliver the message, causing a denial of service.",
CVE-2000-0501,Race condition in MDaemon 2.8.5.0 POP server allows local users to cause a denial of service by entering a UIDL command and quickly exiting the server.,QUIC,NVD-CWE-Other,,,,2000-06-16T04:00:00.000,,,nvd,race condition in mdaemon 2850 pop server allows local users to cause a denial of service by entering a uidl command and quickly exiting the server,Race condition in MDaemon 2.8.5.0 POP server allows local users to cause a denial of service by entering a UIDL command and quickly exiting the server.,
CVE-2001-0160,Lucent/ORiNOCO WaveLAN cards generate predictable Initialization Vector (IV) values for the Wireless Encryption Protocol (WEP) which allows remote attackers to quickly compile information that will let them decrypt messages.,QUIC,NVD-CWE-Other,,,,2001-01-01T05:00:00.000,,,nvd,lucentorinoco wavelan cards generate predictable initialization vector iv values for the wireless encryption protocol wep which allows remote attackers to quickly compile information that will let them decrypt messages,Lucent/ORiNOCO WaveLAN cards generate predictable Initialization Vector (IV) values for the Wireless Encryption Protocol (WEP) which allows remote attackers to quickly compile information that will let them decrypt messages.,
CVE-2001-0198,Buffer overflow in QuickTime Player plugin 4.1.2 (Japanese) allows remote attackers to execute arbitrary commands via a long HREF parameter in an EMBED tag.,QUIC,NVD-CWE-Other,,,,2001-05-03T04:00:00.000,,,nvd,buffer overflow in quicktime player plugin 412 japanese allows remote attackers to execute arbitrary commands via a long href parameter in an embed tag,Buffer overflow in QuickTime Player plugin 4.1.2 (Japanese) allows remote attackers to execute arbitrary commands via a long HREF parameter in an EMBED tag.,
CVE-2001-1007,"Starfish Truesync Desktop 2.0b as used on the REX 5000 PDA uses a small keyspace for device keys and does not impose a delay when an incorrect key is entered, which allows attackers to more quickly guess the key via a brute force attack.",QUIC,NVD-CWE-Other,,,,2001-08-31T04:00:00.000,,,nvd,starfish truesync desktop 20b as used on the rex 5000 pda uses a small keyspace for device keys and does not impose a delay when an incorrect key is entered which allows attackers to more quickly guess the key via a brute force attack,"Starfish Truesync Desktop 2.0b as used on the REX 5000 PDA uses a small keyspace for device keys and does not impose a delay when an incorrect key is entered, which allows attackers to more quickly guess the key via a brute force attack.",
CVE-2002-0252,Buffer overflow in Apple QuickTime Player 5.01 and 5.02 allows remote web servers to execute arbitrary code via a response containing a long Content-Type MIME header.,QUIC,NVD-CWE-Other,,,,2002-05-29T04:00:00.000,,,nvd,buffer overflow in apple quicktime player 501 and 502 allows remote web servers to execute arbitrary code via a response containing a long contenttype mime header,Buffer overflow in Apple QuickTime Player 5.01 and 5.02 allows remote web servers to execute arbitrary code via a response containing a long Content-Type MIME header.,
CVE-2002-0741,"psyBNC 2.3 allows remote attackers to cause a denial of service (CPU consumption and resource exhaustion) by sending a PASS command with a long password argument and quickly killing the connection, which is not properly terminated by psyBNC.",QUIC,NVD-CWE-Other,,,,2002-08-12T04:00:00.000,,,nvd,psybnc 23 allows remote attackers to cause a denial of service cpu consumption and resource exhaustion by sending a pass command with a long password argument and quickly killing the connection which is not properly terminated by psybnc,"psyBNC 2.3 allows remote attackers to cause a denial of service (CPU consumption and resource exhaustion) by sending a PASS command with a long password argument and quickly killing the connection, which is not properly terminated by psyBNC.",
CVE-2002-0376,Buffer overflow in Apple QuickTime 5.0 ActiveX component allows remote attackers to execute arbitrary code via a long pluginspage field.,QUIC,NVD-CWE-Other,,,,2002-09-24T04:00:00.000,,,nvd,buffer overflow in apple quicktime 50 activex component allows remote attackers to execute arbitrary code via a long pluginspage field,Buffer overflow in Apple QuickTime 5.0 ActiveX component allows remote attackers to execute arbitrary code via a long pluginspage field.,
CVE-2002-1126,"Mozilla 1.1 and earlier, and Mozilla-based browsers such as Netscape and Galeon, set the document referrer too quickly in certain situations when a new page is being loaded, which allows web pages to determine the next page that is being visited, including manually entered URLs, using the onunload h",QUIC,NVD-CWE-Other,,,,2002-09-24T04:00:00.000,,,nvd,mozilla 11 and earlier and mozillabased browsers such as netscape and galeon set the document referrer too quickly in certain situations when a new page is being loaded which allows web pages to determine the next page that is being visited including manually entered urls using the onunload h,"Mozilla 1.1 and earlier, and Mozilla-based browsers such as Netscape and Galeon, set the document referrer too quickly in certain situations when a new page is being loaded, which allows web pages to determine the next page that is being visited, including manually entered URLs, using the onunload h",
CVE-2002-0888,"3Com OfficeConnect Remote 812 ADSL Router, firmware 1.1.9 and 1.1.7, allows remote attackers to bypass port access restrictions by connecting to an approved port and quickly connecting to the desired port, which is allowed by the router.",QUIC,NVD-CWE-Other,,,,2002-10-04T04:00:00.000,,,nvd,3com officeconnect remote 812 adsl router firmware 119 and 117 allows remote attackers to bypass port access restrictions by connecting to an approved port and quickly connecting to the desired port which is allowed by the router,"3Com OfficeConnect Remote 812 ADSL Router, firmware 1.1.9 and 1.1.7, allows remote attackers to bypass port access restrictions by connecting to an approved port and quickly connecting to the desired port, which is allowed by the router.",
